z,x,y,h_min_m,h_max_m
5,15,13,-3021,3495
5,16,8,-3260,2105
5,16,9,-681,2002
5,16,10,-102,846
5,16,11,-3007,3555
5,17,8,-378,1385
5,17,9,-363,1013
5,17,10,-112,1918
5,17,11,-2188,2934
5,18,10,28,985
5,18,11,-2445,2483
5,18,16,189,3491
5,18,17,78,2129
5,19,10,0,290
5,19,11,-2573,4441
5,19,16,-4607,4868
5,19,17,-3871,2368
5,22,12,135,6368
5,22,13,-1738,6179
5,23,12,790,6473
5,23,13,-1,7188
5,28,12,-9372,2484
5,28,13,-9745,112
5,29,12,-6408,-1254
5,29,13,-6837,48
5,30,20,-6150,1828
5,30,21,-5776,273
5,31,20,-3679,2418
5,31,21,-6239,185
6,4,16,-12,1203
6,4,17,21,2723
6,4,32,-6058,100
6,4,33,-6232,170
6,5,16,40,1294
6,5,17,1,5879
6,5,32,-5746,-2233
6,5,33,-5880,102
6,10,24,-3792,3947
6,10,25,-4910,3931
6,11,24,-66,3514
6,11,25,-2094,3155
6,12,24,1009,4009
6,12,25,229,3488
6,13,24,864,4037
6,13,25,687,3695
6,18,38,-5532,-49
6,18,39,-4880,1215
6,19,38,-6162,6118
6,19,39,-29,4167
6,24,14,-361,238
6,24,15,-210,503
6,25,14,-63,1799
6,25,15,-204,2774
6,30,26,-3040,3751
6,30,27,189,556
6,31,26,150,2972
6,31,27,123,567
6,32,18,-412,906
6,32,19,-358,38
6,32,20,-101,93
6,32,21,-60,556
6,32,22,19,1597
6,32,23,-2707,2821
6,33,18,-694,2110
6,33,19,-686,960
6,33,20,-52,138
6,33,21,-19,934
6,33,22,-109,4127
6,33,23,-3025,3292
6,38,22,-79,346
6,38,23,-2591,2219
6,38,32,-850,5426
6,38,33,-281,2850
6,39,22,-96,556
6,39,23,-2342,5271
6,39,32,-4609,396
6,39,33,-4524,618
6,46,26,65,6927
6,46,27,55,1184
6,47,26,82,8249
6,47,27,-17,3625
6,56,24,-3637,2486
6,56,25,-4829,3106
6,57,24,-7795,1563
6,57,25,-9429,100
6,62,40,-3324,2840
6,62,41,-2034,1854
6,63,40,-3805,987
6,63,41,-3728,2
7,10,34,131,5863
7,10,35,9,3694
7,10,64,-5070,-2231
7,10,65,-5745,-2844
7,11,34,328,4019
7,11,35,91,2454
7,11,64,-4996,-2606
7,11,65,-5681,-2874
7,20,48,-109,2911
7,20,49,-3796,1359
7,21,48,230,3192
7,21,49,8,4269
7,24,50,604,3630
7,24,51,260,3209
7,25,50,1453,3315
7,25,51,890,3449
7,38,76,-6147,4244
7,38,77,-3864,4666
7,39,76,466,6905
7,39,77,389,4896
7,50,30,24,1629
7,50,31,12,2784
7,51,30,33,2257
7,51,31,-208,2621
7,60,52,-3032,3559
7,60,53,-1417,1870
7,61,52,280,4038
7,61,53,280,1039
7,64,42,-209,303
7,64,43,-121,256
7,65,42,-193,182
7,65,43,-99,591
7,66,36,-1033,2125
7,66,37,-1731,1688
7,66,44,-113,1561
7,66,45,108,4675
7,67,36,65,2186
7,67,37,-335,1822
7,67,44,93,3361
7,67,45,-810,3856
7,76,64,543,3283
7,76,65,705,3622
7,77,64,166,4778
7,77,65,-866,5822
7,78,46,-2351,3787
7,78,47,-2294,3321
7,79,46,39,5483
7,79,47,-23,4959
7,94,52,4213,6715
7,94,53,81,8317
7,95,52,3372,6206
7,95,53,217,8225
7,112,50,-1631,3003
7,112,51,-4830,1830
7,113,50,-4223,3714
7,113,51,-4210,749
7,124,80,-1410,2182
7,124,81,-1436,3470
7,125,80,-3418,2711
7,125,81,-1423,2161
8,20,68,135,1311
8,20,69,305,5884
8,20,128,-5042,-2960
8,20,129,-5071,-4295
8,21,68,157,1782
8,21,69,355,3345
8,21,128,-4981,-2226
8,21,129,-5005,-4492
8,40,98,-3326,1426
8,40,99,-3797,559
8,41,98,-173,1106
8,41,99,-2833,1258
8,48,100,595,2812
8,48,101,708,3800
8,49,100,1409,2462
8,49,101,1414,2423
8,78,152,926,6815
8,78,153,825,6529
8,79,152,481,2174
8,79,153,464,1703
8,102,62,746,2616
8,102,63,745,2597
8,103,62,114,2403
8,103,63,-210,2286
8,122,104,280,4049
8,122,105,375,3222
8,123,104,666,3960
8,123,105,414,1861
8,130,84,-36,25
8,130,85,-29,150
8,131,84,-156,256
8,131,85,-48,150
8,132,74,-768,1909
8,132,75,-601,1572
8,132,90,-1409,3096
8,132,91,154,4673
8,133,74,377,1688
8,133,75,-23,1489
8,133,90,232,4429
8,133,91,110,4500
8,134,88,172,1019
8,134,89,308,2894
8,135,88,339,795
8,135,89,459,3336
8,154,130,611,5853
8,154,131,537,2425
8,155,130,123,2044
8,155,131,-868,2271
8,158,92,-8,1413
8,158,93,283,5601
8,159,92,-839,313
8,159,93,37,2959
8,188,106,887,7993
8,188,107,80,7103
8,189,106,3931,7864
8,189,107,244,8538
8,226,100,36,3115
8,226,101,-3090,3706
8,227,100,-431,1221
8,227,101,-4238,1167
8,248,162,-1171,3656
8,248,163,32,2451
8,249,162,-81,3273
8,249,163,-156,1973
9,40,138,303,1140
9,40,139,562,5164
9,41,138,487,2018
9,41,139,919,6039
9,42,256,-4975,-2226
9,42,257,-4872,-3735
9,43,256,-4935,-3124
9,43,257,-4982,-4231
9,82,198,-309,1254
9,82,199,-2835,1122
9,83,198,3,1292
9,83,199,5,1187
9,96,200,585,2810
9,96,201,951,2464
9,97,200,843,2171
9,97,201,1173,2515
9,156,304,1956,6677
9,156,305,1388,6895
9,157,304,1046,5167
9,157,305,922,5893
9,204,126,1703,2599
9,204,127,740,2002
9,205,126,1386,2586
9,205,127,902,1871
9,244,208,278,1278
9,244,209,656,4080
9,245,208,487,3284
9,245,209,1050,3854
9,262,168,-21,80
9,262,169,-11,13
9,263,168,-9,52
9,263,169,-22,68
9,264,148,-653,1632
9,264,149,-312,1245
9,264,182,170,2283
9,264,183,181,3373
9,265,148,-709,1655
9,265,149,-63,1596
9,265,182,306,4720
9,265,183,370,3733
9,270,178,533,1716
9,270,179,475,3036
9,271,178,526,2075
9,271,179,570,3340
9,308,260,743,4481
9,308,261,787,2063
9,309,260,699,5869
9,309,261,-803,2053
9,316,186,499,2823
9,316,187,1100,5601
9,317,186,283,2124
9,317,187,455,4620
9,378,214,694,7273
9,378,215,260,4189
9,379,214,2192,8704
9,379,215,208,6158
9,452,202,-534,3064
9,452,203,-3101,651
9,453,202,-1641,3715
9,453,203,-2843,1374
9,496,324,-1173,-18
9,496,325,-1121,2433
9,497,324,-806,3352
9,497,325,-77,3640
10,82,278,1008,5864
10,82,279,1120,6127
10,83,278,1475,3970
10,83,279,695,3590
10,84,512,-4534,-2833
10,84,513,-4641,-3296
10,85,512,-4975,-2226
10,85,513,-4671,-4043
10,164,398,-993,820
10,164,399,-2835,-41
10,165,398,-227,1141
10,165,399,-861,351
10,192,400,579,2812
10,192,401,640,2679
10,193,400,848,2806
10,193,401,724,2772
10,312,610,1816,6905
10,312,611,1388,6071
10,313,610,2142,5541
10,313,611,2351,5445
10,408,252,2391,3236
10,408,253,1580,3192
10,409,252,1903,3061
10,409,253,1660,2834
10,488,418,652,3368
10,488,419,658,3565
10,489,418,751,4131
10,489,419,916,4080
10,526,336,-10,35
10,526,337,-7,35
10,527,336,-8,38
10,527,337,-4,54
10,530,296,-2,1644
10,530,297,11,1645
10,530,364,436,2619
10,530,365,311,2838
10,531,296,465,1669
10,531,297,593,1642
10,531,364,556,4773
10,531,365,747,4688
10,542,358,788,2574
10,542,359,631,3072
10,543,358,594,2933
10,543,359,583,3412
10,618,520,1273,5883
10,618,521,698,3302
10,619,520,708,1516
10,619,521,705,1522
10,632,374,1318,5602
10,632,375,1100,4424
10,633,374,1301,3983
10,633,375,1456,4630
10,758,428,4599,8150
10,758,429,2192,6829
10,759,428,4239,8443
10,759,429,3025,8706
10,906,404,17,3719
10,906,405,-1643,960
10,907,404,-1009,1460
10,907,405,-1204,969
10,994,650,-59,2633
10,994,651,98,2473
10,995,650,39,3656
10,995,651,527,2536
11,164,558,2198,6153
11,164,559,1987,4401
11,165,558,1773,5992
11,165,559,1118,3688
11,170,1024,-4975,-2276
11,170,1025,-4968,-4076
11,171,1024,-4495,-2225
11,171,1025,-4465,-4020
11,330,798,-13,47
11,330,799,-14,236
11,331,798,-1603,227
11,331,799,-2,281
11,386,802,1252,2766
11,386,803,715,2489
11,387,802,815,2608
11,387,803,755,2506
11,624,1220,2132,5055
11,624,1221,1801,4835
11,625,1220,3579,6935
11,625,1221,2811,5527
11,818,506,2248,2838
11,818,507,1660,2884
11,819,506,1870,2702
11,819,507,1775,2766
11,978,836,749,2094
11,978,837,808,4146
11,979,836,865,3187
11,979,837,1660,3994
11,1052,674,-7,10
11,1052,675,-5,11
11,1053,674,-3,37
11,1053,675,-3,34
11,1062,592,1066,1677
11,1062,593,465,1554
11,1062,728,704,3069
11,1062,729,556,4479
11,1063,592,1172,1560
11,1063,593,1191,1594
11,1063,728,953,3853
11,1063,729,1022,4788
11,1086,716,702,2944
11,1086,717,618,2740
11,1087,716,676,2657
11,1087,717,595,2637
11,1236,1040,1313,3697
11,1236,1041,1888,5883
11,1237,1040,1273,2764
11,1237,1041,1341,5070
11,1264,748,1311,3295
11,1264,749,1499,3806
11,1265,748,1846,3399
11,1265,749,2303,5626
11,1518,858,4337,8741
11,1518,859,3752,7278
11,1519,858,3977,8248
11,1519,859,3020,7253
11,1812,808,436,2000
11,1812,809,15,1310
11,1813,808,696,3744
11,1813,809,33,1702
11,1990,1300,32,2426
11,1990,1301,454,2660
11,1991,1300,453,3700
11,1991,1301,580,2705
12,328,1116,2398,4777
12,328,1117,2197,4057
12,329,1116,2869,6163
12,329,1117,2639,4539
12,340,2048,-4395,-2570
12,340,2049,-4975,-2819
12,341,2048,-4324,-2276
12,341,2049,-4964,-2472
12,660,1598,0,0
12,660,1599,-14,225
12,661,1598,-2,37
12,661,1599,-23,123
12,772,1606,721,2314
12,772,1607,713,2226
12,773,1606,981,2489
12,773,1607,743,2343
12,1250,2440,3735,5377
12,1250,2441,3580,5429
12,1251,2440,3599,5707
12,1251,2441,3994,6940
12,1638,1014,1807,2611
12,1638,1015,1808,1933
12,1639,1014,1775,2791
12,1639,1015,1791,1900
12,1956,1674,807,2647
12,1956,1675,1117,3368
12,1957,1674,1319,2658
12,1957,1675,1697,4154
12,2106,1350,-3,14
12,2106,1351,-3,20
12,2107,1350,1,35
12,2107,1351,-2,24
12,2124,1186,465,1496
12,2124,1187,465,1501
12,2125,1186,925,1558
12,2125,1187,940,1441
12,2126,1458,1022,3555
12,2126,1459,1719,4790
12,2127,1458,2026,4083
12,2127,1459,1539,4126
12,2172,1432,800,2070
12,2172,1433,848,2947
12,2173,1432,702,1940
12,2173,1433,871,2944
12,2472,2082,3403,5833
12,2472,2083,1872,5887
12,2473,2082,2775,5837
12,2473,2083,2855,5882
12,2530,1498,2353,3818
12,2530,1499,2893,5628
12,2531,1498,2296,3914
12,2531,1499,3125,5607
12,3036,1716,4987,8672
12,3036,1717,4334,6665
12,3037,1716,5136,8753
12,3037,1717,4995,7101
12,3626,1616,956,2501
12,3626,1617,1317,3754
12,3627,1616,866,1665
12,3627,1617,694,1962
12,3982,2600,457,2387
12,3982,2601,561,3123
12,3983,2600,1065,3725
12,3983,2601,699,2453
13,658,2232,3019,5501
13,658,2233,2868,4227
13,659,2232,4061,6166
13,659,2233,3167,4891
13,682,4096,-4325,-2883
13,682,4097,-3138,-2341
13,683,4096,-4287,-2781
13,683,4097,-2845,-2276
13,1322,3198,0,1
13,1322,3199,0,71
13,1323,3198,-4,86
13,1323,3199,-23,124
13,1544,3214,715,2142
13,1544,3215,1284,2176
13,1545,3214,732,1848
13,1545,3215,1187,2225
13,2502,4882,4586,6947
13,2502,4883,3988,6854
13,2503,4882,4336,6737
13,2503,4883,4067,6149
13,3276,2030,1807,1844
13,3276,2031,1813,1934
13,3277,2030,1837,1858
13,3277,2031,1843,1933
13,3914,3350,1694,2927
13,3914,3351,2352,3977
13,3915,3350,1875,3562
13,3915,3351,2498,4158
13,4212,2702,0,18
13,4212,2703,-3,9
13,4213,2702,-2,14
13,4213,2703,-2,21
13,4248,2372,465,1505
13,4248,2373,465,1445
13,4249,2372,482,1462
13,4249,2373,465,1444
13,4252,2918,1715,4107
13,4252,2919,2932,4790
13,4253,2918,2213,3538
13,4253,2919,2094,3706
13,4344,2866,847,1691
13,4344,2867,912,1556
13,4345,2866,971,2111
13,4345,2867,1220,2954
13,4946,4164,3187,4445
13,4946,4165,3864,5838
13,4947,4164,2773,3866
13,4947,4165,3375,4544
13,5060,2998,2887,4530
13,5060,2999,2954,4953
13,5061,2998,3527,5486
13,5061,2999,3810,5631
13,6074,3432,5453,8751
13,6074,3433,5120,7867
13,6075,3432,5269,7331
13,6075,3433,5347,7430
13,7252,3234,1815,3759
13,7252,3235,1316,3332
13,7253,3234,1670,3678
13,7253,3235,1457,3287
13,7966,5200,1098,3067
13,7966,5201,1063,2585
13,7967,5200,1866,3736
13,7967,5201,1138,3327
14,1318,4464,5244,5976
14,1318,4465,4058,5725
14,1319,4464,5730,6167
14,1319,4465,4746,5952
14,1364,8192,-4325,-3860
14,1364,8193,-3878,-3117
14,1365,8192,-4315,-3778
14,1365,8193,-3839,-2880
14,2644,6398,0,25
14,2644,6399,-1,71
14,2645,6398,0,1
14,2645,6399,1,28
14,3090,6428,730,1521
14,3090,6429,1011,1850
14,3091,6428,737,1290
14,3091,6429,1049,1583
14,5004,9764,4734,5657
14,5004,9765,4586,6164
14,5005,9764,4911,6067
14,5005,9765,5661,6946
14,6552,4062,1813,1830
14,6552,4063,1820,1851
14,6553,4062,1825,1879
14,6553,4063,1825,1934
14,7830,6702,2897,3783
14,7830,6703,3032,4031
14,7831,6702,2497,3688
14,7831,6703,3086,4159
14,8424,5404,0,13
14,8424,5405,0,18
14,8425,5404,1,11
14,8425,5405,1,14
14,8498,4746,465,803
14,8498,4747,465,1192
14,8499,4746,465,1444
14,8499,4747,465,1310
14,8504,5838,3188,4370
14,8504,5839,3842,4790
14,8505,5838,3268,4259
14,8505,5839,2931,4138
14,8690,5734,1220,2155
14,8690,5735,1289,2606
14,8691,5734,1650,2956
14,8691,5735,2000,2873
14,9892,8330,4194,5655
14,9892,8331,4931,5838
14,9893,8330,3863,4921
14,9893,8331,4234,5329
14,10122,5998,4241,5231
14,10122,5999,3808,4954
14,10123,5998,4945,5632
14,10123,5999,4107,5215
14,12148,6864,6795,8749
14,12148,6865,6816,8430
14,12149,6864,5453,7171
14,12149,6865,5487,8071
14,14504,6468,1941,2843
14,14504,6469,1814,2950
14,14505,6468,2288,3491
14,14505,6469,2764,3760
14,15934,10400,1972,3193
14,15934,10401,1863,3318
14,15935,10400,2426,3738
14,15935,10401,2329,3708
15,2638,8928,5787,6131
15,2638,8929,5729,6160
15,2639,8928,5751,6146
15,2639,8929,5740,6167
15,2730,16384,-4233,-4233
15,2730,16385,-3985,-3985
15,2731,16384,-4218,-4218
15,2731,16385,-3956,-3956
15,5288,12798,1,71
15,5288,12799,1,69
15,5289,12798,1,3
15,5289,12799,0,7
15,6180,12856,732,1190
15,6180,12857,921,1278
15,6181,12856,731,1200
15,6181,12857,934,1524
15,10010,19530,5660,6468
15,10010,19531,5920,6835
15,10011,19530,5809,6516
15,10011,19531,6154,6946
15,13106,8126,1825,1869
15,13106,8127,1835,1909
15,13107,8126,1859,1905
15,13107,8127,1870,1934
15,15662,13406,3086,3852
15,15662,13407,3404,4015
15,15663,13406,3463,4024
15,15663,13407,3499,4159
15,16848,10808,0,6
15,16848,10809,1,7
15,16849,10808,1,8
15,16849,10809,3,13
15,16996,9492,465,696
15,16996,9493,465,537
15,16997,9492,465,804
15,16997,9493,465,700
15,17008,11678,3946,4526
15,17008,11679,4124,4790
15,17009,11678,3935,4526
15,17009,11679,3840,4736
15,17382,11468,1650,2391
15,17382,11469,1852,2811
15,17383,11468,1787,2956
15,17383,11469,2351,2931
15,19784,16662,5354,5810
15,19784,16663,5668,5838
15,19785,16662,4929,5788
15,19785,16663,5226,5778
15,20246,11996,5104,5632
15,20246,11997,4944,5630
15,20247,11996,5184,5603
15,20247,11997,5138,5632
15,24296,13728,7749,8750
15,24296,13729,7565,8573
15,24297,13728,6996,7970
15,24297,13729,6793,7921
15,29010,12938,2832,3579
15,29010,12939,2762,3582
15,29011,12938,3322,3743
15,29011,12939,3227,3760
15,31870,20800,2581,3379
15,31870,20801,2839,3741
15,31871,20800,2424,3081
15,31871,20801,2536,3514
